
Anna      Schmitt     160   3200        12.04.1995
Lukas     Becker      1O5   3100        23.11.1990
Mia       Wagner      170   28O0        05.09.1988
Jonas     Keller      180   -3500       11.01.1992
Lea       Hoffmann    150   3000        32.01.1991
Paul      Schaefer    160   2900        21.02.1993
Sophie    Bauer       165   3100        31.02.1990
Leon      Weber       155   3000        1990-05-20
Emma      Koch        160   3O50        18.03.1989
Tim       Zimmermann  170   3050        07.07.1994
Lina      Klein       175   3250        05.05.1991
Ben       Schroeder   160   3100        12.09.1987
Nina      Fischer     180   3000        28.02.2019
David     Neumann     165   2900        10.10.1990
Laura     Braun       160   2800        30.04.1993
Tom       Krueger     160   2900        15.08.1989
Marie     Vogel       150   -2500       20.12.1992
Jan       Richter     16O   2700        14.11.1991
Sarah     Wolf        170   3100        30-01-1990
Felix     Zimmer      160   3000        28.02.1995
Lisa      Hartmann    180   3300        08.08.1993
Eric      Werner      175   3200        01.01.1990
Clara     Lehmann     165   2900        01.12.1991
Finn      Koenig      170   3000        15.06.1988
Julia     Schuster    160   3100        28.02.2001
Noah      Krause      150   3000        12/12/1990
Hannah    Engel       180   3200        01.01.1994
Elias     Peters      160   3100        31.09.1992
Mara      Winkler     165   3400        22.02.1993
Nico      Franke      170   3000        02.02.1990
Klara     Busch       160   2850        15.05.1991
Matteo    Lorenz      150   3000        03.04.1992
Carla     Vogt        180   3100        10.10.1987
Fabian    Weiss       170   2900        28.02.2018
Amelie    Arnold      165   2800        17.07.1995
Simon     Hofmann     155   3150        14.03.1993
Ella      Jung        160   -3200       25.12.1991
Tobias    Keller      175   3050        07.08.1990
Nora      Meier       180   3100        30.06.1994
Daniel    Fuchs       165   3000        19.09.1992
Isabell   Graf        160   2900        28.02.1993
Philipp   Lange       170   2800        05.05.1987
Sina      Schwarz     180   3100        11.11.1991
Jonas     Roth        150   3000        12.12.1992
Mira      Sauer       175   3200        25.10.1993
Niklas    Brandt      165   2900        08.08.1989
Selina    Horn        180   31O0        18.02.1994
Moritz    Guenther    160   2900        30.11.1990
Lara      Albrecht    170   3000        15.05.1992
Timo      Schreiber   00x   3050        12.12.1991
