FEHLER in Zeile 000003 | Feld: Stundenanzahl | alphanumerisch (Buchstaben enthalten) | Datensatz: Lukas     Becker      1O5   3100        23.11.1990
FEHLER in Zeile 000004 | Feld: Monatsgehalt | alphanumerisch (Buchstaben enthalten) | Datensatz: Mia       Wagner      170   28O0        05.09.1988
FEHLER in Zeile 000005 | Feld: Monatsgehalt | negativ | Datensatz: Jonas     Keller      180   -3500       11.01.1992
FEHLER in Zeile 000006 | Feld: Geburtsdatum | unmoegliches Datum (z. B. 31.02.) | Datensatz: Lea       Hoffmann    150   3000        32.01.1991
FEHLER in Zeile 000008 | Feld: Geburtsdatum | unmoegliches Datum (z. B. 31.02.) | Datensatz: Sophie    Bauer       165   3100        31.02.1990
FEHLER in Zeile 000009 | Feld: Geburtsdatum | falsches Format (Trenner '.' fehlt) | Datensatz: Leon      Weber       155   3000        1990-05-20
FEHLER in Zeile 000010 | Feld: Monatsgehalt | alphanumerisch (Buchstaben enthalten) | Datensatz: Emma      Koch        160   3O50        18.03.1989
FEHLER in Zeile 000018 | Feld: Monatsgehalt | negativ | Datensatz: Marie     Vogel       150   -2500       20.12.1992
FEHLER in Zeile 000019 | Feld: Stundenanzahl | alphanumerisch (Buchstaben enthalten) | Datensatz: Jan       Richter     16O   2700        14.11.1991
FEHLER in Zeile 000020 | Feld: Geburtsdatum | falsches Format (Trenner '.' fehlt) | Datensatz: Sarah     Wolf        170   3100        30-01-1990
FEHLER in Zeile 000027 | Feld: Geburtsdatum | falsches Format (Trenner '.' fehlt) | Datensatz: Noah      Krause      150   3000        12/12/1990
FEHLER in Zeile 000029 | Feld: Geburtsdatum | unmoegliches Datum (z. B. 31.02.) | Datensatz: Elias     Peters      160   3100        31.09.1992
FEHLER in Zeile 000038 | Feld: Monatsgehalt | negativ | Datensatz: Ella      Jung        160   -3200       25.12.1991
FEHLER in Zeile 000048 | Feld: Monatsgehalt | alphanumerisch (Buchstaben enthalten) | Datensatz: Selina    Horn        180   31O0        18.02.1994
FEHLER in Zeile 000051 | Feld: Stundenanzahl | alphanumerisch (Buchstaben enthalten) | Datensatz: Timo      Schreiber   00x   3050        12.12.1991
